Index	higherClassification
Angiosperms	.*?\|Icacinales\|.*?
Angiosperms	.*?\|Illecebrum\|.*?
Angiosperms	.*?\|Ioffea\|.*?
Angiosperms	.*?\|Iridaceae\|.*?
Angiosperms	.*?\|Isopyrum\|.*?
Angiosperms	.*?\|Ixonanthaceae\|.*?
Angiosperms	.*?\|Jambolifera\|.*?
Angiosperms	.*?\|Jasione\|.*?
Angiosperms	.*?\|Juglandinium\|.*?
Angiosperms	.*?\|Juncaceae\|.*?
Angiosperms	.*?\|Juncaginaceae\|.*?
Angiosperms	.*?\|Kentites\|.*?
Angiosperms	.*?\|Klippsteinia\|.*?
Angiosperms	.*?\|Knautia\|.*?
Angiosperms	.*?\|Knoxia\|.*?
Angiosperms	.*?\|Krameriaceae\|.*?
Angiosperms	.*?\|Kurria\|.*?
Angiosperms	.*?\|Lacistemataceae\|.*?
Angiosperms	.*?\|Lactuca\|.*?
Angiosperms	.*?\|Lacuniderma\|.*?
Angiosperms	.*?\|Lagoecia\|.*?
Angiosperms	.*?\|Lamiaceae\|.*?
Angiosperms	.*?\|Lamiales\|.*?
Angiosperms	.*?\|Lamium\|.*?
Angiosperms	.*?\|Lantana\|.*?
Angiosperms	.*?\|Lapsana\|.*?
Angiosperms	.*?\|Laserpitium\|.*?
Angiosperms	.*?\|Lathraea\|.*?
Angiosperms	.*?\|Lauraceae\|.*?
Angiosperms	.*?\|Laurales\|.*?
Angiosperms	.*?\|Laurogene\|.*?
Angiosperms	.*?\|Lauroxylon\|.*?
Angiosperms	.*?\|Lavandula\|.*?
Angiosperms	.*?\|Lavatera\|.*?
Angiosperms	.*?\|Laxmanniaceae\|.*?
Angiosperms	.*?\|Lechea\|.*?
Angiosperms	.*?\|Lecythidaceae\|.*?
Angiosperms	.*?\|Ledum\|.*?
Angiosperms	.*?\|Lemnaceae\|.*?
Angiosperms	.*?\|Lentibulariaceae\|.*?
Angiosperms	.*?\|Leontice\|.*?
Angiosperms	.*?\|Leontodon\|.*?
Angiosperms	.*?\|Leonurus\|.*?
Angiosperms	.*?\|Lepidocaryopsis\|.*?
Angiosperms	.*?\|Leucadendron\|.*?
Angiosperms	.*?\|Leucojum\|.*?
Angiosperms	.*?\|Ligusticum\|.*?
