Index	higherClassification
Angiosperms	Archaeplastida|Tracheophyta|Gentianales|*
Angiosperms	Archaeplastida|Tracheophyta|Geraniales|*
Gymnosperms	Archaeplastida|Tracheophyta|Ginkgoopsida|*
Angiosperms	Archaeplastida|Tracheophyta|Gunnerales|*
Angiosperms	Archaeplastida|Tracheophyta|Huerteales|*
Angiosperms	Archaeplastida|Tracheophyta|Icacinales|*
Angiosperms	Archaeplastida|Tracheophyta|Lamiales|*
Angiosperms	Archaeplastida|Tracheophyta|Laurales|*
Angiosperms	Archaeplastida|Tracheophyta|Liliales|*
Pteridophytes	Archaeplastida|Tracheophyta|Lycopodiopsida|*
Angiosperms	Archaeplastida|Tracheophyta|Magnoliales|*
Angiosperms	Archaeplastida|Tracheophyta|Malpighiales|*
Angiosperms	Archaeplastida|Tracheophyta|Malvales|*
Angiosperms	Archaeplastida|Tracheophyta|Myrtales|*
Angiosperms	Archaeplastida|Tracheophyta|Nymphaeales|*
Angiosperms	Archaeplastida|Tracheophyta|Oxalidales|*
Angiosperms	Archaeplastida|Tracheophyta|Pandanales|*
Angiosperms	Archaeplastida|Tracheophyta|Picramniales|*
Gymnosperms	Archaeplastida|Tracheophyta|Pinopsida|*
Angiosperms	Archaeplastida|Tracheophyta|Piperales|*
Angiosperms	Archaeplastida|Tracheophyta|Poales|*
Pteridophytes	Archaeplastida|Tracheophyta|Polypodiopsida|*
Angiosperms	Archaeplastida|Tracheophyta|Proteales|*
Angiosperms	Archaeplastida|Tracheophyta|Ranunculales|*
Angiosperms	Archaeplastida|Tracheophyta|Rosales|*
Angiosperms	Archaeplastida|Tracheophyta|Santalales|*
Angiosperms	Archaeplastida|Tracheophyta|Saxifragales|*
Angiosperms	Archaeplastida|Tracheophyta|Solanales|*
Angiosperms	Archaeplastida|Tracheophyta|Vitales|*
Angiosperms	Archaeplastida|Tracheophyta|Zingiberales|*
Angiosperms	Archaeplastida|Tracheophyta|Zygophyllales|*
Plants	Archaeplastida|Zygnemophyceae|*
Bryophytes	Archidiaceae|*
Lepidoptera	Arctiidae|*
Angiosperms	Arecaceae|*
Viruses	Arenaviridae|*
Viruses	arfiviricetes|*
Angiosperms	Aristolochiaceae|*
Bryophytes	Arnelliaceae|*
Viruses	Arteriviridae|*
Fungi	Arthrodermataceae|*
Arachnida	Arthropoda|Arachnida|*
Collembola	Arthropoda|Collembola|*
Crustacea	Arthropoda|Copepoda|*
Crustacea	Arthropoda|Hexanauplia|*
Crustacea	Arthropoda|Ichthyostraca|*
Insecta	Arthropoda|Insecta|
Blattodea	Arthropoda|Insecta|Blattodea|*
Coleoptera	Arthropoda|Insecta|Coleoptera|*
Diptera	Arthropoda|Insecta|Diptera|*
Ephemeroptera	Arthropoda|Insecta|Ephemeroptera|*
Hemiptera	Arthropoda|Insecta|Hemiptera|*
Hymenoptera	Arthropoda|Insecta|Hymenoptera|*
Lepidoptera	Arthropoda|Insecta|Lepidoptera|*
Insecta	Arthropoda|Insecta|Mantodea|*
Neuropterida	Arthropoda|Insecta|Megaloptera|*
Neuropterida	Arthropoda|Insecta|Neuroptera|*
Psocodea	Arthropoda|Insecta|Phthiraptera|*
Plecoptera	Arthropoda|Insecta|Plecoptera|*
Psocodea	Arthropoda|Insecta|Psocodea|*
Neuropterida	Arthropoda|Insecta|Raphidioptera|*
