Identifier	ScientificName	Parent TaxonID	Kingdom	Phylum	Sub Phylum	Class	Infraclass	Super Cohort	Cohort	Super Order	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Tribe	Genus	Species	Infraspecies	TaxonRank	FurtherInformationURL	TaxonomicStatus	TaxonRemarks	NamePublishedIn	ReferenceID
10132	Ptychadena pumilio (Boulenger, 1920)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	pumilio		Species			May also be in family Ranidae		1
10133	Ptychadena schillukorum (Werner, 1908)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	schillukorum		Species			May also be in family Ranidae		1
10134	Ptychadena taenioscelis Laurent, 1954		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	taenioscelis 		Species					1
10135	Ptychadena uzungwensis (Loveridge, 1932)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Ptychadenidae			Ptychadena	uzungwensis 		Species					1
10136	Pyxicephalidae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae						Family					1
10137	Cacosterninae		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae					Subfamily					1
10138	Anhydrophryne Hewitt, 1919		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Anhydrophryne			Genus					1
10139	Anhydrophryne hewitti (FitzSimons, 1947)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Anhydrophryne	hewitti 		Species			May also be in family Ranidae		1
10140	Anhydrophryne ngongoniensis Bishop & Passmore, 1993		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Anhydrophryne	ngongoniensis 		Species			May also be in family Ranidae; not recognised by catalogue of life		1
10141	Anhydrophryne rattrayi Hewitt, 1919		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Anhydrophryne	rattrayi 		Species			May also be in family Ranidae		1
10142	Arthroleptella Hewitt, 1926		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella			Genus					1
10143	Arthroleptella drewesii Channing, Hendricks & Dawood, 1994		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	drewesii 		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10144	Arthroleptella landdrosia Dawood & Channing, 2000		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	landdrosia 		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10145	Arthroleptella lightfooti (Boulenger, 1910)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	lightfooti 		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10146	Arthroleptella rugosa Turner & Channing, 2008		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	rugosa 		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10147	Arthroleptella subvoce Turner, de Villiers, Dawood & Channing, 2004		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	subvoce 		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10148	Arthroleptella bicolor Hewitt, 1926		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	bicolor		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10149	Arthroleptella villiersi Hewitt, 1935		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae			Arthroleptella	villiersi		Species			may also be found in family Phrynobatrachidae or Ranidae		1
10150	Cacosternum Cacosternum		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum			Genus					1
10151	Cacosternum boettgeri (Boulenger, 1882)		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum	boettgeri 		Species			May also be in family Ranidae		1
10152	Cacosternum capense Hewitt, 1925		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum	capense 		Species			May also be in family Ranidae		1
10153	Cacosternum karooicum Boycott, de Villiers & Scott, 2002		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum	karooicum 		Species			May also be in family Ranidae		1
10154	Cacosternum namaquense Werner, 1910		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum	namaquense 		Species			May also be in family Ranidae		1
10155	Cacosternum nanum Boulenger, 1887		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum	nanum 		Species			author also listed as Polynton 1963 ;May also be in family Ranidae		1
10156	Cacosternum nanum nanum Boulenger, 1887		Animalia	Chordata	Vertebrata	Amphibia					Anura				Pyxicephalidae	Cacosterninae		Cacosternum	nanum 	nanum	Infraspecies			not recognised by catalogue of life		1
