taxonID	EOLid
Q15579534	1123511
Q15579556	1125022
Q15580366	1123749
Q15581306	1123434
Q15581487	5494501
Q15582204	6213930
Q15582439	6241784
Q15582485	1082200
Q15583174	819889
Q15583318	581729
Q15584837	5511958
Q15585021	5121010
Q15585179	2905494
Q15586398	5869711
Q15589056	5555757
Q15589151	5121532
Q15589914	6181254
Q15590143	469057
Q15590212	6181636
Q15590712	5115828
Q15591164	6181991
Q15591393	469361
Q15591691	585232
Q15591770	6261952
Q15592227	47146486
Q15592790	6188398
Q15592815	11854712
Q15593648	5635464
Q15593691	2890595
Q15594736	6250426
Q15594813	6188831
Q15594914	5498499
Q15595450	6260717
Q15595539	6250351
Q15596142	468326
Q15596719	6260743
Q15597261	6260753
Q15597325	580767
Q15597459	47106887
Q15597807	39965388
Q15597884	5480793
Q15598018	1246433
Q15598805	2886290
Q15598854	6260770
Q15598890	6260684
Q15599256	6084259
Q15599598	6260693
Q15599610	6247068
Q15599779	6093890
Q15600675	5482238
Q15601040	5116629
Q15601143	47106860
Q15601449	47170955
Q15601512	5480811
Q15601549	5116637
Q15601698	5481645
Q15601899	2900110
Q15601913	5481046
Q15602855	597649
Q15603602	5480819
Q15604130	5481399
Q15604279	5481634
Q15604293	47171019
Q15604319	5481482
Q15604696	47107016
Q15604878	5483350
Q15605238	585273
Q15605239	5477505
Q15605601	39965858
Q15605666	6120498
Q15606310	5480053
Q15606320	5480597
Q15606471	596638
Q15606790	5342965
Q15606923	47107192
Q15606953	5477808
Q15607096	5481734
Q15607407	5481546
Q15608290	5341835
Q15609494	5343341
Q15609650	6084378
Q15610067	5481143
Q15611571	44065311
Q15611617	6084112
Q15611620	6088627
Q15611879	597217
Q15622357	640438
Q15623126	23955
Q15631014	46720828
Q15631632	47139866
Q15632467	47182480
Q15635658	5900716
Q15636043	21206783
Q15637477	973376
Q15644700	46711888
Q15648263	46562998
Q15651824	46505742
Q156533	47153690
Q15654067	new
Q15659924	49836717
Q156692	44927
Q156694	47131887
Q156835	584656
Q156901	39862164
Q15709655	2567841
Q15711357	47110722
Q15711508	64859
Q15711568	279
Q15715538	46518867
Q1572326	16660
Q15723828	66855
Q1572462	89987
Q15726363	47413
Q15726450	47141496
Q15727439	103628
Q15727989	46532682
Q15728966	new
Q15729573	47055884
Q15730554	2773080
