Zenodo_id	Resource_id	Resource_name	Resource_URL	OpenData_URL
13317484	SC_kazakhstan	Kazakhstan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kazakhstan.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/047cc26c-828d-4b58-af97-29c5413dcb77
13316671	SC_kenya	Kenya Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kenya.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/f0b1011e-3e48-4404-920e-252e02d3f22a
13316673	SC_kiribati	Kiribati Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kiribati.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/45a66322-c1f6-4f56-b40e-d25d623d0108
13316675	SC_kuwait	Kuwait Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kuwait.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/303310f1-375b-4419-a18b-79b7235b20a7
13317494	SC_kyrgyzstan	Kyrgyzstan Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_kyrgyzstan.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/1282af22-2666-407d-a976-c63aa922b93d
13316681	SC_laos	Laos Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_laos.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/7efd6ed7-b221-4f03-bdf8-0e580039d33c
13316683	SC_latvia	Latvia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_latvia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c6d2fa4a-6e46-45dc-92a6-feb51614ebb3
13316685	SC_lebanon	Lebanon Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lebanon.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/c0628d23-f3c2-4440-827a-ed97b9b536f3
13316687	SC_lesotho	Lesotho Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lesotho.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/dc601838-70cd-41d1-8c46-2e3a0480b066
13316689	SC_liberia	Liberia Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_liberia.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/7922fc61-ae6f-417b-b437-4b6b40622f0b
13316691	SC_libya	Libya Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_libya.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/df384598-6d88-4f30-84f3-fd0436ddf701
13316693	SC_liechtenstein	Liechtenstein Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_liechtenstein.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/8ca5c300-41f7-4e85-a692-f5517d5a90c5
13316695	SC_lithuania	Lithuania Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_lithuania.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/0ad1ff30-57ef-478f-8e6f-7e5a3d45dfea
13317518	SC_luxembourg	Luxembourg Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_luxembourg.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/5c92a4c7-ed96-43b3-8ae4-63e7e08ef83c
13316699	SC_macau	Macau Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_macau.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/4286ff75-d765-45cd-8d8b-4678abbdc451
13316701	SC_madagascar	Madagascar Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_madagascar.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/bc04944a-be25-41d4-b6aa-e6253b7845f9
13316703	SC_malawi	Malawi Species List	https://editors.eol.org/eol_php_code/applications/content_server/resources/SC_malawi.tar.gz	https://opendata.eol.org/dataset/5d99ead1-db10-40ad-9aac-b1b5611d979e/resource/9e59c9a2-1e0b-4789-adc4-05d0c35673a0
