Label	URI
Leslie Hill	http://eol.org/schema/terms/Amphibiaweb_Leslie_Hill
Lettie Gallup	http://eol.org/schema/terms/Amphibiaweb_Lettie_Gallup
Lindsey Freeman	http://eol.org/schema/terms/Amphibiaweb_Lindsey_Freeman
Lisa Knapp	http://eol.org/schema/terms/Amphibiaweb_Lisa_Knapp
Lisa Rosenthal	http://eol.org/schema/terms/Amphibiaweb_Lisa_Rosenthal
Luciana K. Erdtmann	http://eol.org/schema/terms/Amphibiaweb_Luciana_K_Erdtmann
M. Arculeo	http://eol.org/schema/terms/Amphibiaweb_M_Arculeo
M. Cunningham	http://eol.org/schema/terms/Amphibiaweb_M_Cunningham
M. Cunninghan	http://eol.org/schema/terms/Amphibiaweb_M_Cunningham
M. Littlejohn	http://eol.org/schema/terms/Amphibiaweb_M_Littlejohn
M. Lo Valvo	http://eol.org/schema/terms/Amphibiaweb_M_Lo_Valvo
M. S. Khan	http://eol.org/schema/terms/Amphibiaweb_M_S_Khan
M. Stöck	http://eol.org/schema/terms/Amphibiaweb_M_Stöck
M. Stoneham	http://eol.org/schema/terms/Amphibiaweb_M_Stoneham
M. Vences	http://eol.org/schema/terms/Amphibiaweb_M_Vences
M.O. Rödel	http://eol.org/schema/terms/Amphibiaweb_MO_Roedel
M.O. Roedel	http://eol.org/schema/terms/Amphibiaweb_MO_Roedel
M.S. Khan	http://eol.org/schema/terms/Amphibiaweb_M_S_Khan
M.S.Khan	http://eol.org/schema/terms/Amphibiaweb_MSKhan
Madeleine Wieland	http://eol.org/schema/terms/Amphibiaweb_Madeleine_Wieland
Mae Huo	http://eol.org/schema/terms/Amphibiaweb_Mae_Huo
Mallory Clouse	http://eol.org/schema/terms/Amphibiaweb_Mallory_Clouse
Marcelo Menin	http://eol.org/schema/terms/Amphibiaweb_Marcelo_Menin
Marina Guzman	http://eol.org/schema/terms/Amphibiaweb_Marina_Guzman
Marisa Riordan	http://eol.org/schema/terms/Amphibiaweb_Marisa_Riordan
Mark-Oliver Rödel	http://eol.org/schema/terms/Amphibiaweb_Mark-Oliver_Rödel
Masha Joanna Paramonova	http://eol.org/schema/terms/Amphibiaweb_Masha_Joanna_Paramonova
Matan Shelomi	http://eol.org/schema/terms/Amphibiaweb_Matan_Shelomi
Matthew Thorstensen	http://eol.org/schema/terms/Amphibiaweb_Matthew_Thorstensen
Mauro Hernandez	http://eol.org/schema/terms/Amphibiaweb_Mauro_Hernandez
Max Sparreboom	http://eol.org/schema/terms/Amphibiaweb_Max_Sparreboom
Maxine Weber	http://eol.org/schema/terms/Amphibiaweb_Maxine_Weber
Mayra Pelagio	http://eol.org/schema/terms/Amphibiaweb_Mayra_Pelagio
Megan Blandford	http://eol.org/schema/terms/Amphibiaweb_Megan_Blandford
Megan Wai	http://eol.org/schema/terms/Amphibiaweb_Megan_Wai
Meghan Bishop	http://eol.org/schema/terms/Amphibiaweb_Meghan_Bishop
Meghan Parsley	http://eol.org/schema/terms/Amphibiaweb_Meghan_Parsley
Melissa Crews	http://eol.org/schema/terms/Amphibiaweb_Melissa_Crews
Melissa Headley	http://eol.org/schema/terms/Amphibiaweb_Melissa_Headley
Melissa Sullivan	http://eol.org/schema/terms/Amphibiaweb_Melissa_Sullivan
Meredith J. Mahoney	http://eol.org/schema/terms/Amphibiaweb_Meredith_J_Mahoney
Mia Guarnieri	http://eol.org/schema/terms/Amphibiaweb_Mia_Guarnieri
Michael Chou	http://eol.org/schema/terms/Amphibiaweb_Michael_Chou
